"Абрамова",0.33
"Авдеева",0.14
"Агапова",0.05
"Агафонова",0.12
"Агеева",0.13
"Акимова",0.23
"Аксёнова",0.18
"Александрова",0.52
"Алексеева",0.81
"Алёхина",0.06
"Алёшина",0.09
"Ананьева",0.08
"Андреева",0.7
"Андрианова",0.14
"Аникина",0.09
"Анисимова",0.22
"Анохина",0.05
"Антипова",0.1
"Антонова",0.45
"Артамонова",0.11
"Артёмова",0.09
"Архипова",0.23
"Астафьева",0.07
"Астахова",0.06
"Афанасьева",0.36
"Бабушкина",0.05
"Баженова",0.13
"Балашова",0.16
"Баранова",0.44
"Барсукова",0.05
"Басова",0.07
"Безрукова",0.05
"Беликова",0.06
"Белкина",0.06
"Белова",0.46
"Белоусова",0.2
"Беляева",0.41
"Белякова",0.16
"Берёзина",0.12
"Беспалова",0.06
"Бессонова",0.07
"Бирюкова",0.22
"Блинова",0.16
"Блохина",0.05
"Боброва",0.16
"Богданова",0.4
"Богомолова",0.16
"Болдырева",0.07
"Большакова",0.12
"Бондарева",0.1
"Борисова",0.64
"Бородина",0.16
"Бочарова",0.12
"Булатова",0.08
"Булгакова",0.09
"Бурова",0.08
"Быкова",0.29
"Бычкова",0.07
"Вавилова",0.08
"Васильева",1.16
"Вдовина",0.05
"Верещагина",0.06
"Вешнякова",0.06
"Виноградова",0.47
"Винокурова",0.1
"Вишневская",0.07
"Владимирова",0.14
"Власова",0.37
"Волкова",0.85
"Волошина",0.06
"Воробьёва",0.56
"Воронина",0.29
"Воронкова",0.06
"Воронова",0.19
"Воронцова",0.14
"Высоцкая",0.07
"Гаврилова",0.36
"Галкина",0.21
"Герасимова",0.41
"Гладкова",0.05
"Глебова",0.07
"Глухова",0.07
"Глушкова",0.05
"Голикова",0.08
"Голованова",0.09
"Головина",0.13
"Голубева",0.28
"Гончарова",0.26
"Горбачёва",0.13
"Горбунова",0.22
"Гордеева",0.13
"Горелова",0.12
"Горлова",0.05
"Горохова",0.07
"Горшкова",0.18
"Горюнова",0.08
"Горячева",0.09
"Грачёва",0.25
"Грекова",0.05
"Грибова",0.04
"Григорьева",0.6
"Гришина",0.24
"Громова",0.23
"Губанова",0.07
"Гуляева",0.1
"Гурова",0.05
"Гусева",0.49
"Гущина",0.05
"Давыдова",0.41
"Данилова",0.35
"Дегтярёва",0.09
"Дементьева",0.17
"Демидова",0.18
"Дёмина",0.17
"Демьянова",0.06
"Денисова",0.36
"Дмитриева",0.51
"Добрынина",0.05
"Долгова",0.07
"Дорофеева",0.11
"Дорохова",0.05
"Дроздова",0.16
"Дружинина",0.08
"Дубинина",0.07
"Дубова",0.07
"Дубровина",0.08
"Дьякова",0.07
"Дьяконова",0.1
"Евдокимова",0.16
"Евсеева",0.09
"Егорова",0.76
"Ежова",0.06
"Елизарова",0.04
"Елисеева",0.18
"Емельянова",0.25
"Еремеева",0.06
"Еремина",0.21
"Ермакова",0.26
"Ермилова",0.05
"Ермолаева",0.12
"Ермолова",0.05
"Ерофеева",0.08
"Ершова",0.17
"Ефимова",0.32
"Ефремова",0.23
"Жарова",0.06
"Жданова",0.16
"Жилина",0.06
"Жукова",0.44
"Журавлёва",0.27
"Завьялова",0.1
"Зайцева",0.64
"Захарова",0.65
"Зверева",0.14
"Звягинцева",0.04
"Зеленина",0.06
"Зимина",0.13
"Зиновьева",0.11
"Злобина",0.05
"Золотарёва",0.1
