"Александровна",10.38
"Алексеевна",7.14
"Анатольевна",0.6
"Андреевна",5.84
"Антоновна",2.81
"Арсеньевна",0.22
"Артёмовна",2.38
"Артуровна",0.22
"Борисовна",0.48
"Вадимовна",0.74
"Валентиновна",0.28
"Валерьевна",0.5
"Васильевна",0.89
"Викторовна",1.53
"Витальевна",1.08
"Владимировна",3.03
"Владиславовна",0.86
"Вячеславовна",0.93
"Геннадьевна",0.17
"Георгиевна",0.74
"Глебовна",0.24
"Григорьевна",0.52
"Данииловна",0.41
"Денисовна",2.38
"Дмитриевна",7.79
"Евгеньевна",3.89
"Егоровна",0.58
"Ивановна",1.77
"Игоревна",1.99
"Ильинична",2.59
"Кирилловна",2.38
"Константиновна",1.45
"Леонидовна",0.37
"Максимовна",3.68
"Михайловна",3.24
"Никитична",1.82
"Николаевна",2.59
"Олеговна",1.47
"Павловна",3.46
"Петровна",0.63
"Романовна",2.38
"Семёновна",0.19
"Сергеевна",7.35
"Станиславовна",1.19
"Степановна",0.24
"Тимуровна",2.03
"Фёдоровна",0.37
"Филипповна",0.3
"Юрьевна",1.45
"Ярославна",0.43
