"Александра",3.77
"Алёна",1.5
"Алеся",0.08
"Алина",2.06
"Алиса",0.53
"Алла",0.23
"Альбина",0.12
"Анастасия",9.94
"Ангелина",0.45
"Анжела",0.1
"Анжелика",0.15
"Анна",7.59
"Антонина",0.2
"Арина",0.82
"Валентина",0.48
"Валерия",2.14
"Варвара",0.47
"Василиса",0.21
"Вера",0.55
"Вероника",0.88
"Виктория",2.52
"Виолетта",0.15
"Влада",0.13
"Владислава",0.13
"Галина",0.46
"Дарина",0.16
"Дарья",5.88
"Диана",1.12
"Дина",0.11
"Евгения",1.51
"Екатерина",6.86
"Елена",2.72
"Елизавета",3.37
"Жанна",0.1
"Инна",0.28
"Ирина",2.11
"Карина",0.5
"Кира",0.13
"Кристина",1.45
"Ксения",3.04
"Лариса",0.14
"Лидия",0.23
"Лилия",0.35
"Любовь",0.53
"Людмила",0.41
"Майя",0.1
"Маргарита",1.23
"Марина",1.51
"Мария",6.57
"Милана",0.13
"Надежда",0.92
"Наталия",0.81
"Наталья",2.25
"Нелли",0.09
"Нина",0.24
"Оксана",0.33
"Олеся",0.3
"Ольга",3.0
"Полина",2.99
"Регина",0.22
"Светлана",1.4
"Снежана",0.08
"София",0.44
"Софья",1.41
"Таисия",0.15
"Тамара",0.21
"Татьяна",2.84
"Ульяна",0.35
"Эвелина",0.09
"Элина",0.26
"Эльвира",0.15
"Юлиана",0.12
"Юлия",4.07
"Яна",1.0
"Ярослава",0.08
