"Александр",9.42
"Алексей",4.84
"Альберт",0.2
"Анатолий",0.86
"Андрей",5.93
"Антон",1.47
"Аркадий",0.17
"Арсений",0.27
"Артём",1.68
"Артемий",0.22
"Артур",0.62
"Богдан",0.18
"Борис",0.68
"Вадим",1.0
"Валентин",0.34
"Валерий",1.36
"Василий",0.89
"Виктор",1.69
"Виталий",0.98
"Владимир",4.5
"Владислав",1.83
"Всеволод",0.17
"Вячеслав",1.12
"Геннадий",0.59
"Георгий",0.88
"Герман",0.19
"Глеб",0.61
"Григорий",0.64
"Даниил",1.06
"Данил",0.35
"Данила",0.2
"Денис",1.14
"Дмитрий",6.11
"Евгений",2.59
"Егор",0.91
"Захар",0.07
"Иван",2.34
"Игорь",3.24
"Илья",1.99
"Кирилл",1.53
"Константин",1.45
"Лев",0.27
"Леонид",0.6
"Максим",2.06
"Марат",0.25
"Марк",0.21
"Матвей",0.14
"Михаил",3.42
"Никита",2.53
"Николай",2.47
"Олег",2.48
"Павел",2.11
"Пётр",0.54
"Роберт",0.15
"Родион",0.09
"Роман",1.43
"Ростислав",0.09
"Руслан",0.67
"Святослав",0.17
"Семён",0.29
"Сергей",7.51
"Станислав",0.74
"Степан",0.25
"Тимофей",0.22
"Тимур",0.43
"Фёдор",0.5
"Феликс",0.05
"Филипп",0.19
"Эдуард",0.51
"Эмиль",0.1
"Эрик",0.05
"Юрий",2.54
"Яков",0.12
"Ян",0.12
"Ярослав",0.39
