"Александр",10.38
"Алексей",7.14
"Анатолий",0.6
"Андрей",5.84
"Антон",2.81
"Арсений",0.22
"Артём",2.38
"Артур",0.22
"Борис",0.48
"Вадим",0.74
"Валентин",0.28
"Валерий",0.5
"Василий",0.89
"Виктор",1.53
"Виталий",1.08
"Владимир",3.03
"Владислав",0.86
"Вячеслав",0.93
"Геннадий",0.17
"Георгий",0.74
"Глеб",0.24
"Григорий",0.52
"Даниил",0.41
"Денис",2.38
"Дмитрий",7.79
"Евгений",3.89
"Егор",0.58
"Иван",1.77
"Игорь",1.99
"Илья",2.59
"Кирилл",2.38
"Константин",1.45
"Леонид",0.37
"Максим",3.68
"Михаил",3.24
"Никита",1.82
"Николай",2.59
"Олег",1.47
"Павел",3.46
"Пётр",0.63
"Роман",2.38
"Семён",0.19
"Сергей",7.35
"Станислав",1.19
"Степан",0.24
"Тимур",2.03
"Фёдор",0.37
"Филипп",0.3
"Юрий",1.45
"Ярослав",0.43
