"Алевтина",0.12
"Александра",0.47
"Алёна",1.23
"Алла",1.07
"Анастасия",0.44
"Анжела",0.33
"Анжелика",0.49
"Анна",2.56
"Антонина",0.13
"Валентина",0.91
"Валерия",0.22
"Вера",0.84
"Вероника",0.28
"Виктория",0.95
"Галина",2.56
"Дарья",0.14
"Евгения",0.63
"Екатерина",2.33
"Елена",14.66
"Елизавета",0.19
"Жанна",0.08
"Зоя",0.15
"Инна",1.16
"Ирина",8.15
"Лада",0.26
"Лариса",2.33
"Лидия",0.37
"Лилия",0.42
"Любовь",1.07
"Людмила",2.33
"Майя",0.13
"Маргарита",0.61
"Марианна",0.14
"Марина",3.96
"Мария",1.84
"Надежда",1.72
"Наталия",2.23
"Наталья",9.54
"Нелли",0.14
"Нина",0.67
"Оксана",2.79
"Ольга",8.84
"Полина",0.18
"Раиса",0.13
"Светлана",8.38
"Таисия",0.1
"Тамара",0.35
"Татьяна",8.38
"Юлия",2.79
"Яна",0.21
