"Александрович",6.3
"Алексеевич",2.14
"Альбертович",0.38
"Анатольевич",8.31
"Андреевич",0.5
"Антонович",0.13
"Аркадьевич",0.25
"Борисович",3.78
"Вадимович",0.63
"Валентинович",2.52
"Валерьевич",4.91
"Васильевич",1.76
"Викторович",10.58
"Витальевич",1.26
"Владимирович",12.59
"Владиславович",0.5
"Всеволодович",0.13
"Вячеславович",4.79
"Геннадьевич",2.89
"Георгиевич",0.5
"Германович",0.25
"Григорьевич",0.38
"Дмитриевич",0.63
"Евгеньевич",3.65
"Егорович",0.13
"Иванович",1.89
"Игоревич",1.51
"Ильич",0.13
"Константинович",0.5
"Львович",1.01
"Леонидович",1.64
"Максимович",0.13
"Маратович",0.13
"Михайлович",2.26
"Николаевич",6.54
"Олегович",1.39
"Павлович",0.5
"Петрович",1.01
"Робертович",0.13
"Романович",0.13
"Рудольфович",0.13
"Семёнович",0.13
"Сергеевич",1.76
"Станиславович",0.75
"Степанович",0.25
"Тимурович",0.13
"Фёдорович",0.25
"Эдуардович",0.75
"Юрьевич",6.93
"Яковлевич",0.13
